CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction
54935,41.0,Female,56,11,9,21.0,Premium,Quarterly,537.0,12
5772,21.0,Female,35,13,0,25.0,Standard,Annual,,2
28327,44.0,Male,3,4,2,,Basic,Monthly,,9
45850,37.0,Female,48,20,8,27.0,Premium,Quarterly,,30
12775,65.0,Male,40,4,1,8.0,Standard,Annual,214.0,27
52499,52.0,Female,34,25,7,19.0,Premium,Monthly,566.0,17
50434,33.0,Male,39,11,9,30.0,Premium,Annual,,30
3496,52.0,male,20,10,2,11.0,Standard,Monthly,,9
2886,37.0,Female,28,9,1,3.0,Premium,Annual,,14
1991,47.0,Male,54,6,9,23.0,Premium,Monthly,435.0,9
63326,46.0,Male,44,12,8,20.0,Premium,Quarterly,614.0,17
49208,20.0,Female,57,23,5,,Premium,Annual,312.0,27
48723,42.0,Female,50,15,7,21.0,Standard,Monthly,,3
46209,64.0,Male,48,22,9,28.0,Standard,Quarterly,131.0,17
46881,56.0,Female,45,21,5,19.0,Standard,Monthly,620.0,28
10677,33.0,Male,21,22,10,24.0,Premium,Quarterly,380.0,21
24637,39.0,F,57,4,5,6.0,Basic,monthly,738.0,11
9921,28.0,Male,25,6,3,5.0,Premium,Monthly,467.0,7
51794,,Male,26,3,6,28.0,Premium,Monthly,996.0,13
6129,63.0,Female,56,12,6,5.0,Standard,Quarterly,,6
43617,55.0,Female,50,11,4,7.0,Premium,Annual,730.0,20
22933,,Male,6,29,1,9.0,Standard,Quarterly,,17
30281,58.0,Male,55,13,1,30.0,premium,Quarterly,594.0,23
63525,,Female,45,17,3,29.0,Basic,Quarterly,334.0,8
5344,51.0,Male,4,25,1,12.0,Standard,Monthly,,9
28810,,Male,15,27,8,3.0,STANDARD,Monthly,,24
56605,58.0,Female,41,24,0,30.0,Premium,Monthly,688.0,22
53649,39.0,F,52,28,6,,Basic,Monthly,622.0,8
33236,54.0,female,20,12,1,17.0,Standard,Annual,201.0,11
24181,53.0,Male,57,9,1,15.0,Premium,Quarterly,909.0,7
5942,31.0,Male,19,12,4,12.0,Standard,Annual,127.0,30
51672,22.0,Female,56,2,2,23.0,Standard,Annual,449.0,9
8608,27.0,Female,10,9,0,29.0,Standard,Annual,352.0,6
47036,40.0,Male,47,18,9,22.0,Standard,Annual,340.0,28
5626,29.0,Male,51,30,8,10.0,Basic,Quarterly,742.0,8
2300,18.0,Male,20,9,4,21.0,Premium,Quarterly,709.0,26
35023,53.0,Male,20,1,1,16.0,Standard,Annual,471.0,24
24860,26.0,Female,55,28,1,6.0,Premium,Quarterly,955.0,23
58530,64.0,F,44,16,9,24.0,Basic,Quarterly,900.0,3
42858,45.0,female,24,8,4,10.0,Standard,Monthly,301.0,3
36430,56.0,Male,25,15,5,2.0,Basic,Monthly,811.0,14
3137,43.0,Female,10,13,5,3.0,Standard,Monthly,,6
37682,38.0,Female,14,20,3,21.0,Premium,ANNUAL,403.0,24
20137,34.0,Male,42,19,4,,Premium,Annual,325.0,20
33483,42.0,Female,11,18,3,12.0,Basic,Annual,,14
14743,38.0,Male,4,19,3,25.0,Basic,Quarterly,244.0,2
1686,53.0,Male,5,24,2,11.0,Standard,Annual,792.0,1
